City,Industry,average_salary
NULL,"Accounting, Banking & Finance",38000.0000
" Byron Bay","Education (Primary/Secondary)",78000.0000
" Charlottesville","Accounting, Banking & Finance",87000.0000
" Chicago",Insurance,66100.0000
" Los Angeles",Retail,87000.0000
"A Coru̱a","Computing or Tech",60000.0000
"A major Canadian city","Government and Public Administration",64000.0000
"A small city","Accounting, Banking & Finance",70000.0000
"a small city","Education (Higher Education)",65386.0000
"A small city","Education (Primary/Secondary)",640000.0000
